from,to,unit,layer,count
p,a,consonant,git,9
/,E,punctuation,git,9
l,N,consonant,git,9
"""",8,punctuation,git,9
s,त,consonant,git,9
t,ो,consonant,git,9
o,त,vowel,git,9
m,H,consonant,git,9
p,v,consonant,form,8
c,s,consonant,form,8
b,"""",consonant,form,8
m,t,consonant,form,8
i,d,vowel,form,8
e,u,vowel,form,8
i,s,vowel,form,8
s,l,consonant,form,8
.,c,punctuation,form,8
t,i,consonant,form,8
t,u,consonant,form,8
5,e,digit,form,8
a,c,vowel,form,8
u,e,vowel,form,8
̣,Y,diacritic,form,8
d,h,consonant,form,8
Y,c,consonant,form,8
̇,́,diacritic,form,8
l,s,consonant,form,8
s,y,consonant,form,8
t,c,consonant,form,8
d,m,consonant,form,8
f,F,case,form,8
d,s,consonant,form,8
o,i,vowel,form,8
m,e,consonant,form,8
 ,p,whitespace,form,8
k,̣,diacritic,form,8
h,e,consonant,form,8
g,d,consonant,form,8
1,h,digit,form,8
k,n,consonant,form,8
a,.,vowel,form,8
M,̣,diacritic,form,8
1,4,digit,form,8
m, ,consonant,form,8
4,n,digit,form,8
9,e,digit,form,8
c,n,consonant,form,8
̃,j,diacritic,form,8
5,7,digit,form,8
†,¯,punctuation,form,8
E,K,vowel,form,8
p,b,consonant,form,8
4,̣,diacritic,form,8
̣,x,diacritic,form,8
m,o,consonant,form,8
>,p,punctuation,git,8
f,t,consonant,git,8
b,n,consonant,git,8
s,g,consonant,git,8
m,e,consonant,git,8
c,r,consonant,git,8
},s,punctuation,git,8
d,Q,consonant,git,8
i,t,vowel,git,8
l,e,consonant,git,8
e,d,vowel,git,8
F,f,case,git,8
z,S,consonant,git,8
E,B,vowel,git,8
.,-,punctuation,git,8
k,K,case,git,8
o,b,vowel,git,8
O,I,vowel,git,8
3,0,digit,git,8
y,n,consonant,git,8
?,a,punctuation,git,8
},i,punctuation,git,8
r,h,consonant,git,8
l,r,consonant,git,8
 ,A,whitespace,git,8
r,a,consonant,git,8
